idmen_care,AHENTSEX,AHENTAGE,AHENTCOH,SCORE_AIDE
786,2.0,65.0,0,1.0
786,1.0,65.0,0,0.0
786,1.0,65.0,0,1.0
794,2.0,58.0,1,4.0
795,2.0,50.0,1,3.0
797,1.0,66.0,1,1.0
797,2.0,32.0,0,1.0
802,2.0,55.0,1,2.0
802,2.0,31.0,0,1.0
804,1.0,67.0,1,0.0
808,2.0,23.0,0,1.0
808,2.0,19.0,0,0.0
812,2.0,82.0,0,1.0
816,2.0,65.0,1,0.0
816,2.0,36.0,0,0.0
822,1.0,60.0,0,0.0
824,1.0,71.0,1,0.0
824,1.0,40.0,1,0.0
826,1.0,64.0,1,0.0
831,2.0,28.0,0,9.0
831,2.0,30.0,0,9.0
833,1.0,45.0,1,3.0
838,1.0,61.0,1,0.0
838,2.0,36.0,0,0.0
838,2.0,32.0,0,0.0
841,1.0,69.0,1,1.0
841,2.0,40.0,1,1.0
843,2.0,63.0,1,2.0
845,1.0,77.0,1,4.0
845,2.0,75.0,1,2.0
845,2.0,75.0,0,0.0
846,1.0,61.0,0,2.0
848,1.0,63.0,1,2.0
849,2.0,59.0,1,5.0
852,2.0,34.0,0,0.0
852,2.0,29.0,0,0.0
853,1.0,29.0,0,0.0
855,2.0,58.0,1,3.0
855,1.0,21.0,1,3.0
855,1.0,28.0,1,1.0
856,2.0,41.0,0,0.0
856,2.0,40.0,0,0.0
856,2.0,18.0,0,1.0
856,2.0,18.0,0,1.0
856,1.0,35.0,0,0.0
856,2.0,59.0,0,0.0
863,1.0,66.0,1,1.0
864,2.0,47.0,1,0.0
867,1.0,65.0,1,0.0
869,2.0,66.0,1,2.0
870,2.0,43.0,1,0.0
873,2.0,62.0,0,0.0
875,2.0,69.0,0,0.0
890,2.0,62.0,1,2.0
908,1.0,37.0,0,0.0
910,1.0,56.0,0,0.0
913,2.0,65.0,1,0.0
921,2.0,57.0,1,2.0
921,2.0,33.0,0,2.0
922,1.0,59.0,1,1.0
924,2.0,69.0,1,1.0
929,1.0,23.0,1,1.0
929,2.0,26.0,0,2.0
929,2.0,59.0,0,1.0
932,2.0,53.0,1,0.0
932,1.0,28.0,1,1.0
932,1.0,24.0,1,1.0
935,1.0,65.0,1,0.0
943,2.0,59.0,1,1.0
951,2.0,47.0,0,0.0
951,1.0,50.0,0,0.0
957,2.0,22.0,1,4.0
958,1.0,46.0,0,0.0
958,2.0,43.0,0,0.0
958,1.0,40.0,0,0.0
958,2.0,23.0,0,0.0
958,1.0,61.0,0,0.0
958,2.0,36.0,0,0.0
966,2.0,54.0,1,4.0
972,1.0,62.0,1,1.0
973,1.0,67.0,1,1.0
974,2.0,53.0,1,4.0
980,1.0,66.0,0,0.0
981,2.0,60.0,1,2.0
986,2.0,58.0,1,1.0
987,2.0,27.0,0,0.0
988,1.0,34.0,1,0.0
